"ID","Source","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance(mi)","Description","Street","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature(F)","Wind_Chill(F)","Humidity(%)","Pressure(in)","Visibility(mi)","Wind_Direction","Wind_Speed(mph)","Precipitation(in)","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"A-391851","Source2",2,"2017-03-20 15:35:54","2017-03-20 16:35:54","31.584496","-97.099701",NULL,NULL,"0.0","Accident on La Clede St both ways in Waco.","La Clede St","Waco","Mclennan","TX","76705-3051","US","US/Central","KCNW","2017-03-20 15:55:00","84.2",NULL,"40.0","30.07","10.0","South","12.7",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-392887","Source2",2,"2017-03-24 14:20:44","2017-03-24 15:20:44","31.584496","-97.099701",NULL,NULL,"0.0","Accident on La Clede St both ways in Waco.","La Clede St","Waco","Mclennan","TX","76705-3051","US","US/Central","KCNW","2017-03-24 13:55:00","62.6",NULL,"94.0","29.92","10.0","South","6.9",NULL,"Mostly Cloudy",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-429508","Source2",3,"2017-04-07 19:03:59","2017-04-07 19:33:47","31.560323999999998","-97.117317",NULL,NULL,"0.01","Accident on I-35 Northbound at Exit 335C Jack Kultgen Expy.","I-35 N","Waco","McLennan","TX","76704","US","US/Central","KCNW","2017-04-07 18:55:00","75.2",NULL,"34.0","30.07","10.0","South","9.2",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-431297","Source2",3,"2017-04-16 19:59:05","2017-04-16 20:29:05","31.575046999999998","-97.113731",NULL,NULL,"0.01","Accident on I-35 Northbound near Exit 337B TX-484 Loop.","US-77 N","Waco","McLennan","TX","76704","US","US/Central","KCNW","2017-04-16 19:55:00","75.2",NULL,"78.0","29.97","10.0","ESE","3.5",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Night","Day","Day","Day"
"A-431307","Source2",3,"2017-04-16 21:03:32","2017-04-16 21:33:06","31.536054999999998","-97.12960799999999",NULL,NULL,"0.01","Accident on I-35 Northbound at Exit 334 US-77.","I-35 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2017-04-16 20:55:00","73.4",NULL,"78.0","29.99","10.0","ESE","3.5",NULL,"Clear",False,False,False,False,False,False,False,False,False,False,False,False,False,"Night","Night","Night","Day"
"A-553273","Source2",3,"2022-07-28 06:46:17","2022-07-28 07:15:48","31.54707","-97.125633",NULL,NULL,"0.0","#4 lane blocked due to crash on I-35 Northbound at 8th St.","S Jack Kultgen Expy","Waco","McLennan","TX","76706","US","US/Central","KCNW","2022-07-28 06:55:00","79.0","79.0","78.0","29.48","10.0","S","9.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-851002","Source2",3,"2021-10-25 09:44:40","2021-10-25 10:59:21","31.543921","-97.127151",NULL,NULL,"0.0","Right lane blocked due to accident on I-35 Northbound at 11th St.","Interstate 35 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2021-10-25 09:55:00","72.0","72.0","88.0","29.47","7.0","CALM","0.0",NULL,"Partly Cloudy",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1093300","Source2",3,"2021-04-06 14:07:30","2021-04-06 14:52:12","31.548981","-97.124367",NULL,NULL,"0.0","One lane blocked due to accident on I-35 Northbound at 6th St.","Interstate 35 S","Waco","McLennan","TX","76706","US","US/Central","KCNW","2021-04-06 13:55:00","77.0","77.0","61.0","29.35","10.0","S","16.0",NULL,"Mostly Cloudy",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1097267","Source2",4,"2021-04-01 16:32:04","2021-04-01 23:28:10","31.51391","-97.139488",NULL,NULL,"2.5799999237060547","Main roadway closed restrictions and queueing traffic due to accident on I-35 Northbound between Loop 340 and Exit 331 Jack Kultgen Expy. Traffic getting by on the shoulder.","I-35 N","Waco","McLennan","TX","76706","US","US/Central","KCNW","2021-04-01 16:55:00","66.0","66.0","21.0","29.91","10.0","NNW","7.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
"A-1097308","Source2",3,"2021-04-02 17:11:39","2021-04-02 20:49:29","31.54702","-97.12554899999999",NULL,NULL,"0.0","Two lanes blocked and queueing traffic due to accident on I-35 Southbound at 8th St.","S 8th St","Waco","McLennan","TX","76706-1145","US","US/Central","KCNW","2021-04-02 16:55:00","70.0","70.0","23.0","29.79","10.0","SE","13.0",NULL,"Fair",False,False,False,False,False,False,False,False,False,False,False,False,False,"Day","Day","Day","Day"
